GUID 41e9679e0a794325840017950bb87cc8
Type Vehicle
ID 47501

Speed_Min -25
Speed_Max 25

Fuel 2000

Health_Min 10000
Health_Max 10000
Health 10000

Exit 3

Cam_Follow_Distance 7.5

Engine Train
Train_Track_Offset 1.3
Train_Wheel_Offset 3.5
Train_Car_Length 11

Pitch_Idle 0.625
Pitch_Drive 0.01

Supports_Mobile_Buildables

Trunk_Storage_X 8
Trunk_Storage_Y 7

Asset_Bundle_Version 3

Explosion 20
Invulnerable
Explosions_Invulnerable
Environment_Invulnerable
Bumper_Invulnerable

Master_Bundle_Override train_extended.masterbundle
Bundle_Override_Path /Vehicles/Cargo_Train_2
