GUID 8f1cf792632a40b7a30d2fc9f3206ff4
Type Magazine
Rarity Rare
ID 48268

Size_X 1
Size_Y 1
Size_Z 0.2

Amount 6
Count_Min 1
Count_Max 6

Calibers 1
Caliber_0 57048

Spread 1.2
Shake 1.2
Recoil_X 1.65
Recoil_Y 1.4

Tracer 48

Blueprints 2
// Ammo box
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 48269
Blueprint_0_Build 45117
// Speedloader
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 48268
Blueprint_1_Build 45117

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Magazines/Revolver Ammunition/44 Magnum FMJ 6rnd Speedloader
