GUID ec1ac2aa499e451ab3bd3ba354a7ecba
Type Vehicle
Rarity Mythical
ID 26585

Physics_Profile c5d2c5fc67c6485090e92d1ebcb3b800
Fuel_Burn_Rate 1.4

Speed_Min -6
Speed_Max 26

Steer_Min 18
Steer_Max 30

Brake 36

Fuel_Min 200
Fuel_Max 400
Fuel 900

Health_Min 350
Health_Max 450
Health 650

Cam_Passenger_Offset -0.05

Trunk_Storage_X 2
Trunk_Storage_Y 2

Explosion 20

Bumper_Invulnerable

Master_Bundle_Override vanillavehicles.masterbundle
Bundle_Override_Path /Assets/Vanilla Vehicles 2/Vehicles/VVR/2.0/victor/victor_red
