GUID 1e183087d8f34b57b2c16eff93b24ac3
Type Hat
Rarity Rare
Useable Clothing
ID 37080

Size_X 2
Size_Y 2
Size_Z 0.35

Beard

Armor 0.93

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 34080
Blueprint_0_Product 66
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 32

Master_Bundle_Override pto_tacticalapparel.masterbundle
Bundle_Override_Path /PTO_TacticalApparelMasterBundle/Items/Hats/TP-RCH-MC
