GUID 176e20ce7aa04d7ca2e97b819ad9dd56
Type Mask
Rarity Rare
Useable Clothing
ID 15812

Size_X 1
Size_Y 1
Size_Z 0.35

Beard
Hair

Earpiece

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 15812
Blueprint_0_Product 67
Blueprint_0_Products 1
Blueprint_0_Build 27
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 27

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Accessories/Earbuds
