GUID 330fff1b9c9c455fb85e8483f6f7f34f
Type Storage
Rarity Rare
Useable Barricade
Build Storage
ID 27602

Size_X 2
Size_Y 1
Size_Z 0.2

Health 50
Range 4
Radius 0.2
Offset 0.25

Storage_X 4
Storage_Y 3

Explosion 37
Vulnerable
Unrepairable

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 66
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 69
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Build 27

Asset_Bundle_Version 2

Master_Bundle_Override letgalianf.masterbundle
Bundle_Override_Path Items/Letgalian/Barricades/Cardboard
