GUID 9848906770bc4b9f9ba3c84aff4622b3
Type Barricade
Rarity Uncommon
Useable Barricade
Build Barricade
ID 27656

Size_X 2
Size_Y 2
Size_Z 0.5

Health 300
Range 4
Offset 0.1

Explosion 19

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 61
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 40
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Build 27

Asset_Bundle_Version 2

Master_Bundle_Override letgalianf.masterbundle
Bundle_Override_Path Items/Letgalian/Barricades/Pallet_Maple
