GUID 3ab32fd5ee4f4f48a3506f9812e756c4
Type Magazine
Rarity Rare
ID 67124

Size_X 1
Size_Y 2
Size_Z 0.3

Amount 40
Count_Min 0
Count_Max 0

Speed 0.95

Calibers 1
Caliber_0 56004

Tracer 48

Blueprints 2
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67124
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67017
Blueprint_1_Build 30

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Bundles/Items/Magazines/AK Magazines/57-N-231 Ball 40rnd 6P2.Sb-11 Magazine
