GUID 7fc7627b0b6b4e8ca0256cb0a253de0a
Type Storage
Useable Barricade
Build Storage
ID 37263

Size_X 2
Size_Y 2
Size_Z 0.4

Health 1
Range 4
Radius 0.2
Offset 0.23

Storage_X 5
Storage_Y 2

Explosion 88
Vulnerable

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 41
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 38130
Blueprint_0_Tool_Critical
Blueprint_0_Build 37101

Master_Bundle_Override morefarming.masterbundle
Bundle_Override_Path /More_Farming/Furniture_GiftYellow
