GUID 3fb4246b67964991bb1cc101cc84ea4a
Type Vehicle
Rarity Epic
ID 26250

Physics_Profile 56d79cdd12b34ef4889a4a71fc05eb45
Fuel_Burn_Rate 1.4

Speed_Min -6
Speed_Max 14

Steer_Min 18
Steer_Max 34

Brake 28

Fuel_Min 200
Fuel_Max 400
Fuel 950

Health_Min 350
Health_Max 450
Health 2050

Cam_Passenger_Offset -0.05

Trunk_Storage_X 7
Trunk_Storage_Y 12

Explosion 20
Invulnerable
Cam_Follow_Distance 8
Bumper_Invulnerable
Traction

Master_Bundle_Override vanillavehicles.masterbundle
Bundle_Override_Path /Assets/Vanilla Vehicles 2/Vehicles/VVR/1.0/mbtruck/mbtruck_black
