GUID 126c0b45d2c5454bb6c67864fe958b79
Type Vehicle
Rarity Epic
ID 26500

Physics_Profile 56d79cdd12b34ef4889a4a71fc05eb45
Fuel_Burn_Rate 1.4

Speed_Min -6
Speed_Max 15

Steer_Min 18
Steer_Max 30

Brake 24

Fuel_Min 200
Fuel_Max 400
Fuel 650

Health_Min 350
Health_Max 450
Health 1550

Trunk_Storage_X 8
Trunk_Storage_Y 8

Explosion 20
Cam_Follow_Distance 10

Bumper_Invulnerable
Tires_Invulnerable
Bumper_Invulnerable

Master_Bundle_Override vanillavehicles.masterbundle
Bundle_Override_Path /Assets/Vanilla Vehicles 2/Vehicles/VVR/2.0/cargo/cargo_black
