GUID edf6d1c7112148c3a4027a699d5e443f
Type Barricade
Rarity Rare
Useable Barricade
Build Spot
ID 37178

Size_X 2
Size_Y 2
Size_Z 0.54

Health 400
Range 4
Radius 0.3
Offset 0.8

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 1228
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 74
Blueprint_0_Supply_1_Amount 5
Blueprint_0_Tool 138
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 37101

Master_Bundle_Override morefarming.masterbundle
Bundle_Override_Path /More_Farming/Furniture_Toilet
