GUID 5536945c20444c46927ceab4e612a3c2
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 67107

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Safety
Semi
Auto

Attachment_Calibers 3
Attachment_Caliber_0 56100
Attachment_Caliber_1 56101
Attachment_Caliber_2 56706

Magazine_Calibers 1
Magazine_Caliber_0 56007

Unplace 0.21
Replace 0.55

Range 400
Firerate 5
Action Trigger

Player_Damage 68
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 0.7
Player_Skull_Multiplier 1.2

Zombie_Damage 68
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 0.7
Zombie_Skull_Multiplier 1.1

Animal_Damage 68
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 0.7
Animal_Skull_Multiplier 1.2

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 40
Object_Damage 20

Durability 0.2

Spread_Aim 0.1
Spread_Hip 0.13

Recoil_Min_X -1.5
Recoil_Min_Y 4.75
Recoil_Max_X 1
Recoil_Max_Y 5.75

Recover_X 0.65
Recover_Y 0.65

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.025
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.05

Muzzle 55000

Shell 55103

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67107
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Bundles/Items/Guns/SCAR Platform/FN Mk.17 Battle Rifle
