GUID 5ecaa5052b93446ea7168d0ba8b2eabe
Type Barrel
Rarity Epic
ID 48283

Size_X 2
Size_Y 1
Size_Z 0.15

Calibers 1
Caliber_0 56707

Spread 0.9
Shake 1.2
Recoil_X 1.25
Recoil_Y 1.1
Ballistic_Drop 0.9
Braked
Silenced
Volume 1.0
Gunshot_Rolloff_Distance_Multiplier 0.5

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Barrels/9x19mm/Suppressors/SilencerCo Osprey 9 Suppressor (OD Green)
