GUID ca31a0de0d9a4ec4aa1f9c0969ed8a5e
Type Barrel
Rarity Epic
ID 48140

Size_X 2
Size_Y 1
Size_Z 0.15

Calibers 1
Caliber_0 56701

Spread 1.2
Shake 1
Recoil_X 0.94
Recoil_Y 1.1
Ballistic_Drop 0.975
Braked
Silenced
Volume 1.0
Gunshot_Rolloff_Distance_Multiplier 0.7

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Barrels/5.56x45/Suppressors/KAC QDSS NT-4 Suppressor (TAN)
