GUID 7df0dd0499244dfe9dab9ba7d8289ca8
Type Barricade
Useable Barricade
Build Barricade
ID 27678

Size_X 2
Size_Y 2
Size_Z 0.45

Health 200
Range 4
Radius 0.5
Offset 0.75

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 8
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Asset_Bundle_Version 2

Master_Bundle_Override letgalianf.masterbundle
Bundle_Override_Path Items/Letgalian/Barricades/Chair_Lawn
