GUID 025bbcd2180f4b308c7cb6803c18131a
Type Barricade
Rarity Legendary
Useable Barricade
Build Spot
ID 27645

Size_X 2
Size_Y 2
Size_Z 0.45

Health 300
Range 4
Radius 0.5
Offset 0.5

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 65
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Supply_2_ID 1222
Blueprint_0_Supply_2_Amount 6
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Asset_Bundle_Version 2

Master_Bundle_Override letgalianf.masterbundle
Bundle_Override_Path Items/Letgalian/Barricades/Monitor_Upgraded
