GUID 2c116a171cdd4e1cb42537eef2805c40
Type Backpack
Rarity Epic
Useable Clothing
ID 37206

Size_X 2
Size_Y 2
Size_Z 0.6

Width 7
Height 7

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 34206
Blueprint_0_Product 66
Blueprint_0_Products 4
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 4
Blueprint_1_Tool 34108
Blueprint_1_Level 2
Blueprint_1_Skill Craft
Blueprint_1_Build 32

Master_Bundle_Override pto_tacticalapparel.masterbundle
Bundle_Override_Path /PTO_TacticalApparelMasterBundle/Items/Backpacks/EX-TP-TA
