GUID 3ca899f739b741be9447cf9f51a92dcc
Type Throwable
Rarity Rare
Useable Throwable
ID 48024

Size_X 1
Size_Y 1
Size_Z 0.3

Player_Damage 175
Zombie_Damage 175
Animal_Damage 175
Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 100
Resource_Damage 1000
Object_Damage 500
Weak_Throw_Force 700
Strong_Throw_Force 1200
Boost_Throw_Force_Multiplier 1.2

Range 15
Explosion 55109

Explosive

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Throwable/M67 Fragmentation Hand Grenade
