GUID 60e2f988c23e472a87ff20763ee7dfa6
Type Shirt
Rarity Mythical
Useable Clothing
ID 37900

Size_X 3
Size_Y 2
Size_Z 0.6

Width 6
Height 6

Armor 0.25

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 34900
Blueprint_0_Product 66
Blueprint_0_Products 4
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 32

pto_tacticalapparel.masterbundle
Bundle_Override_Path /PTO_TacticalApparelMasterBundle/Items/Shirts/A-TAD-SH-PT
