GUID 07d4dbb2e0cd4d87b6c170a356b535ac
Type Glasses
Rarity Rare
Useable Clothing
ID 15813

Size_X 2
Size_Y 1
Size_Z 0.15

Hair
Beard

Blueprints 1
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 15813
Blueprint_0_Product 67
Blueprint_0_Products 1
Blueprint_0_Build 27
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 27

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Accessories/Shades
