GUID c121cf7a9b5dc560b1a7502ebe4fc290
Type Gun
Rarity Uncommon
Useable Gun
Slot Secondary
ID 58346

Size_X 3
Size_Y 2
Size_Z 0.45
Size2_Z 0.6

Magazine 58347
Tactical 58348

Ammo_Min 1
Ammo_Max 30

Hook_Barrel
Hook_Tactical
Hook_Grip

Safety
Semi
Auto

Attachment_Calibers 1
Attachment_Caliber_0 56063

Magazine_Calibers 1
Magazine_Caliber_0 56063

Unplace 0.25
Replace 0.75

Range 150
Firerate 2
Action Trigger
Fire_Delay_Seconds 0.1

Ballistic_Drop 0.003
Gunshot_Rolloff_Distance 800

Player_Damage 38
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.4

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 38
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.4

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 40
Object_Damage 20

Durability 0.095

Spread_Aim 0.2
Spread_Hip 0.4

Recoil_Min_X 0.5
Recoil_Min_Y 2
Recoil_Max_X -2
Recoil_Max_Y 8

Recover_X 0.31
Recover_Y 0.31

Shake_Min_X -0.0032
Shake_Min_Y 0.0032
Shake_Min_Z -0.009
Shake_Max_X 0.0032
Shake_Max_Y -0.0032
Shake_Max_Z -0.015

Muzzle 55000

Shell 55105

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58346
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
