GUID 54398b64da244b0cb7b52452f45acf34
Type Barrel
Rarity Epic
ID 48350

Size_X 2
Size_Y 1
Size_Z 0.15

Calibers 1
Caliber_0 56063

Spread 0.95
Shake 1
Recoil_X 0.8
Recoil_Y 0.85
Ballistic_Drop 0.9
Braked
Silenced
Volume 0.8
Gunshot_Rolloff_Distance_Multiplier 0.5

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Barrels/45 ACP/Suppressors/Gemtech Viper MAC-10 .45 ACP Suppressor
