GUID 30065443b333469687efca45d8d17a33
Type Barricade
Useable Barricade
Build Bed
ID 27623

Size_X 3
Size_Y 3
Size_Z 0.5

Health 500
Range 4
Radius 0.4
Offset 0.75

Explosion 19

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 66
Blueprint_0_Supply_0_Amount 18
Blueprint_0_Supply_1_ID 61
Blueprint_0_Supply_1_Amount 12
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Asset_Bundle_Version 2

Master_Bundle_Override letgalianf.masterbundle
Bundle_Override_Path Items/Letgalian/Barricades/Doublebed
