GUID da0983c94c424e76b1ba9340bc04d0c6
Type Throwable
Rarity Epic
Useable Throwable
ID 48501

Size_X 1
Size_Y 1
Size_Z 0.3

Player_Damage 140
Zombie_Damage 140
Animal_Damage 140
Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 65
Resource_Damage 1000
Object_Damage 500
Weak_Throw_Force 675
Strong_Throw_Force 1000
Boost_Throw_Force_Multiplier 1.15

Range 13
Fuse_Length 3.2
Explosion 55109

Explosive
Explode_On_Impact

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Throwable/RGO Hand Grenade
