GUID 284d1170d8c347fa8f7663ab9d56fdc8
Type Vest
Rarity Uncommon
Useable Clothing
ID 10033

Size_X 2
Size_Y 2
Size_Z 0.4

Width 5
Height 3

Armor 0.95

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 10033
Blueprint_0_Product 66
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 32

Master_Bundle_Override pto_tacticalapparel.masterbundle
Bundle_Override_Path /Items/Vests/SH-GR
