GUID 4a2c756b033b4addb77d48461e3370ec
Type Vehicle
Rarity Legendary
ID 26628

Physics_Profile dd5b9ad652da4e61b76a946d6365878a
Fuel_Burn_Rate 1.4

Speed_Min -6
Speed_Max 24

Steer_Min 18
Steer_Max 30

Brake 28

Fuel_Min 200
Fuel_Max 400
Fuel 1250

Health_Min 350
Health_Max 450
Health 800

Cam_Passenger_Offset -0.1

Trunk_Storage_X 4
Trunk_Storage_Y 3

Explosion 20

Bumper_Invulnerable

Master_Bundle_Override vanillavehicles.masterbundle
Bundle_Override_Path /Assets/Vanilla Vehicles 2/Vehicles/STREET/m4/m4_police
