GUID 30eb4d65d3e44bae8eac0c881a08f92b
Type Barricade
Useable Barricade
Build Barricade
ID 37156

Size_X 2
Size_Y 1
Size_Z 0.29

Health 300
Range 4
Radius 0.2
Offset 0.7

Explosion 19

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 61
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 40
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 71
Blueprint_0_Supply_2_Amount 2
Blueprint_0_Tool 138
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 37101

Master_Bundle_Override morefarming.masterbundle
Bundle_Override_Path /More_Farming/Furniture_FenceGateMaple
