GUID 5d7b4d66bd134db9b34289c7e98c5795
Type Barrel
Rarity Epic
ID 67062

Size_X 2
Size_Y 1
Size_Z 0.15

Attachment_Calibers 2
Attachment_Caliber_0 56704
Attachment_Caliber_1 56203

Braked
Silenced
Volume 1.0

Ballistic_Drop 1.0

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Bundles/Items/Barrels/7.62x39 Suppressors/PBS-1 Suppressor
