GUID fee4e843ab1746fcabef3d5d0f37cfa2
Type Magazine
Rarity Epic
ID 48212

Size_X 1
Size_Y 1
Size_Z 0.2

Amount 1

Calibers 1
Caliber_0 56035

Player_Damage 125
Zombie_Damage 125
Animal_Damage 125
Barricade_Damage 200
Structure_Damage 175
Vehicle_Damage 40
Resource_Damage 150
Object_Damage 150

Explosive
Explosion 55114

Range 15
Tracer 55121

Delete_Empty

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Magazines/Launcher Ammunition/40mm Caseless/Individual/40 mm VOG-25
