GUID a73c626d19e449f18ed78dead97dbd93
Type Vehicle
Rarity Mythical
ID 26560

Physics_Profile dd5b9ad652da4e61b76a946d6365878a
Fuel_Burn_Rate 1.4

Speed_Min -6
Speed_Max 29

Steer_Min 18
Steer_Max 25

Brake 30

Fuel_Min 200
Fuel_Max 400
Fuel 700

Health_Min 350
Health_Max 450
Health 650

Cam_Passenger_Offset -0.15

Trunk_Storage_X 2
Trunk_Storage_Y 2

Explosion 20

Bumper_Invulnerable
BatteryMode_Sirens None

Master_Bundle_Override vanillavehicles.masterbundle
Bundle_Override_Path /Assets/Vanilla Vehicles 2/Vehicles/VVR/2.0/Chiron/Chiron_black
