GUID 870bbd288fb346d59a6c8d8a9b229032
Type Barricade
Rarity Rare
Useable Barricade
Build Cage
ID 37196

Size_X 2
Size_Y 2
Size_Z 0.34

Health 400
Range 4
Offset 0.2

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 1297
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 65
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 285
Blueprint_0_Supply_2_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Master_Bundle_Override morefarming.masterbundle
Bundle_Override_Path /More_Farming/Furniture_LightWallMirror
