GUID cfa01f8f97f84359bd5b1ac5f5c1110a
Type Shirt
Rarity Common
Useable Clothing
ID 15879

Size_X 3
Size_Y 2
Size_Z 0.6

Width 6
Height 3

Armor 0.95

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 15879
Blueprint_0_Product 66
Blueprint_0_Products 3
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Build 32

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Jerseys/Jersey_Brazil
