GUID 60057304029849ea9e3f8ce70b98e9d3
Type Vest
Rarity Rare
Useable Clothing
ID 10005

Size_X 2
Size_Y 2
Size_Z 0.5

Width 5
Height 4

Armor 0.70

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 10005
Blueprint_0_Product 67
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Tool 34108
Blueprint_1_Level 2
Blueprint_1_Skill Craft
Blueprint_1_Build 32

Master_Bundle_Override pto_tacticalapparel.masterbundle
Bundle_Override_Path /Items/Vests/711-TV-BK
