GUID b136547484494730916c44bddc5ad0db
Type Magazine
Rarity Rare
ID 67071

Size_X 1
Size_Y 1
Size_Z 0.2

Amount 8
Count_Min 0
Count_Max 0

Calibers 1
Caliber_0 56012

Tracer 48

Blueprints 2
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67071
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67072
Blueprint_1_Build 30

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Bundles/Items/Magazines/Makarov Magazines/9x18 7rnd Makarov Magazine
