GUID 203eebf2bbea49f6a1da2e9484922ca4
Type Magazine
Rarity Rare
ID 58585

Size_X 1
Size_Y 2
Size_Z 0.2

Amount 30
Count_Min 1
Count_Max 29

Calibers 1
Caliber_0 56088

Spread 1
Shake 1
Recoil_X 0.875
Recoil_Y 1.05

Tracer 48

Blueprints 4
// Ammo Box
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 58572
Blueprint_0_Build 55117
// SR1MP mag
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58576
Blueprint_1_Supply_0_Critical
Blueprint_1_Build 55117
// SR-2 Veresk mag
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 58585
Blueprint_2_Build 55117
// SR-2 Veresk 20rnd mag
Blueprint_3_Type Ammo
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 58588
Blueprint_3_Supply_0_Critical
Blueprint_3_Build 55117
