GUID 9ffb1650f1014e76ba380a0f55d78a0e
Type Glasses
Rarity Common
Useable Clothing
ID 15817

Size_X 2
Size_Y 1
Size_Z 0.15

Hair
Beard

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 15817
Blueprint_0_Product 67
Blueprint_0_Products 3
Blueprint_0_Build 27
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Build 27

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Accessories/HMD
