GUID b78f6d3a15bf9dc7048448286b48d12e
Type Melee
Rarity Rare
Useable Melee
Slot Any
ID 58498

Size_X 1
Size_Y 2
Size_Z 0.6
Size2_Z 0.5

Range 1.5
Strength 1.5
Weak 0.15
Strong 0.15
Stamina 25

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 50
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 15

Durability 0.1

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58498
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
