GUID 36d86a320d2b4245b08726862dab15f9
Type Magazine
Rarity Mythical
ID 48649

Size_X 6
Size_Y 2
Size_Z 0.3

Amount 4
Count_Min 4
Count_Max 4

Calibers 1
Caliber_0 56005

Spread 0.5
Shake 1.4
Recoil_X -10
Recoil_Y 20
Ballistic_Damage_Multiplier 1.5
Ballistic_Drop 0.5
Speed 0.55

Allow_Manual_Drop true
Should_Drop_On_Death false
Tracer 48

Allow_Manual_Drop true
Should_Drop_On_Death false
Durability 0
Should_Fill_After_Detach true

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Magazines/SVD Magazines/7N1 Ball 10rnd SVD Magazine/SenVU Curatain Call Magazine
