GUID cd1864ada1374353b1dcb276e5c25142
Type Vest
Rarity Rare
Useable Clothing
ID 15808

Size_X 2
Size_Y 2
Size_Z 0.25

Armor 0.1

Width 2
Height 1

Blueprints 1
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 15808
Blueprint_0_Product 516
Blueprint_0_Products 1
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 516
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 32

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Accessories/Snake
