GUID 3e1e8f98be274c058f0cb018da66d928
Type Vehicle
Rarity Uncommon
ID 26813

Physics_Profile 5107dd4a6dc44224829f87568f66a7f3
Fuel_Burn_Rate 1.4

Speed_Min -6
Speed_Max 19

Steer_Min 18
Steer_Max 30

Brake 28

Fuel_Min 200
Fuel_Max 400
Fuel 600

Health_Min 350
Health_Max 450
Health 1000

Cam_Passenger_Offset -0.1

Trunk_Storage_X 3
Trunk_Storage_Y 3

Explosion 20

Traction
Bumper_Invulnerable

Master_Bundle_Override vanillavehicles.masterbundle
Bundle_Override_Path /Assets/Vanilla Vehicles 2/Vehicles/STREET/sandracer/sandracer_orange
