GUID 5b20f41e76524722b824a4384f9ba61a
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 48240

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Sight 58243
Magazine 58241
Grip 58249

Hook_Sight
Hook_Tactical

Ammo_Min 3
Ammo_Max 5

Safety
Semi

Attachment_Calibers 3
Attachment_Caliber_0 56100
Attachment_Caliber_1 56101
Attachment_Caliber_2 56041

Magazine_Calibers 1
Magazine_Caliber_0 56041

Unplace 0.2
Replace 0.7

Range 600

Ballistic_Drop 0.00015
Ballistic_Steps 200
Ballistic_Travel 13

Firerate 20
Action Trigger

Invulnerable
Gunshot_Rolloff_Distance 1000

Player_Damage 101
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.2
Instakill_Headshots True

Zombie_Damage 200
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 101
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.2

Barricade_Damage 150
Structure_Damage 130
Vehicle_Damage 75
Resource_Damage 150
Object_Damage 130

Durability 0.2

Spread_Aim 0.001
Spread_Hip 0.4

Recoil_Min_X -1.1
Recoil_Min_Y 1.1
Recoil_Max_X 1.1
Recoil_Max_Y 1.15

Recover_X -20
Recover_Y -20

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.025
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.05

Muzzle 55000

Shell 55128

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58240
Blueprint_1_Product 67
Blueprint_1_Products 7
Blueprint_1_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Guns/OSV Platform/OSV-96 Anti-Material Rifle
