GUID a7dec66d8bbe4f0cbaaf5ebde2ffdb0e
Type Shirt
Rarity Uncommon
Useable Clothing
ID 15850

Size_X 3
Size_Y 2
Size_Z 0.6

Width 5
Height 3

Armor 0.95

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 15850
Blueprint_0_Product 66
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 32

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Outfits/White_Tuxedo_Top
