GUID 772ce3302e684a079ab726f873bb0844
Type Barrel
Rarity Epic
ID 67140

Size_X 2
Size_Y 1
Size_Z 0.15

Calibers 1
Caliber_0 56701

Braked
Silenced
Volume 1.0

Ballistic_Drop 1.0

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Bundles/Items/Barrels/5.56x45 Suppressors/KAC QDSS NT-4 Suppressor (Tan)
