GUID 9e8ad73af61f41cfb46f306d9e064e4c
Type Shirt
Rarity Rare
Useable Clothing
ID 37045

Size_X 3
Size_Y 2
Size_Z 0.6

Width 5
Height 3

Armor 0.90

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 34045
Blueprint_0_Product 66
Blueprint_0_Products 3
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Tool 34108
Blueprint_1_Level 1
Blueprint_1_Skill Craft
Blueprint_1_Build 32

pto_tacticalapparel.masterbundle
Bundle_Override_Path /PTO_TacticalApparelMasterBundle/Items/Shirts/TP-LJG-RG
