GUID 6c8c591b379541ee819c47337ed69e7f
Type Barricade
Rarity Rare
Useable Barricade
Build Campfire
ID 37110

Size_X 2
Size_Y 2
Size_Z 0.35

Health 300
Range 4
Radius 0.4
Offset 2.29

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 362
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 68
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 37101

Master_Bundle_Override morefarming.masterbundle
Bundle_Override_Path /More_Farming/Furniture_Stove
