GUID cbede09dfbfd457dbb5ecdd607917f12
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 48642

Size_X 5
Size_Y 2
Size_Z 0.45
Size2_Z 0.65

Magazine 58643
Sight 58644

Hook_Sight

Ammo_Min 0
Ammo_Max 1

Safety
Semi

Attachment_Calibers 1
Attachment_Caliber_0 56095

Magazine_Calibers 1
Magazine_Caliber_0 56095

Unplace 0.35
Replace 0.7
Should_Delete_Empty_Magazines true

Firerate 50
Action Trigger

Gunshot_Rolloff_Distance 1000

Player_Damage 125
Zombie_Damage 125
Animal_Damage 125
Barricade_Damage 300
Structure_Damage 200
Vehicle_Damage 375
Resource_Damage 500
Object_Damage 400
Explosive
Explosion 55107

Range 12

Durability 1
Wear 5

Spread_Aim 0.1
Spread_Hip 0.22

Ballistic_Force 9250

Recoil_Min_X -20
Recoil_Min_Y 25
Recoil_Max_X 20
Recoil_Max_Y 30

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.025
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.05

Backward

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58642
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Guns/Launcher Platform/Carl Gustav M3 Recoilless Rifle
