GUID d40e72f6be3444ccb843262ea9f8b2f5
Type Magazine
Rarity Rare
ID 58590

Size_X 1
Size_Y 2
Size_Z 0.2

Amount 20
Count_Min 1
Count_Max 19

Calibers 1
Caliber_0 56088

Spread 1.2
Shake 1.15
Recoil_X 1.1
Recoil_Y 1.2
Ballistic_Damage_Multiplier 1.25

Tracer 55120

Blueprints 4
// Ammo Box
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 58574
Blueprint_0_Build 55117
// SR1MP mag
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58578
Blueprint_1_Supply_0_Critical
Blueprint_1_Build 55117
// SR-2 Veresk mag
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 58587
Blueprint_2_Supply_0_Critical
Blueprint_2_Build 55117
// SR-2 Veresk 20rnd mag
Blueprint_3_Type Ammo
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 58590
Blueprint_3_Build 55117
